variable,type,size_per_group,group_type
MMEAN_BSTORAGE_PY,PFT,NA,DBH class
MMEAN_LAI_PY,PFT,NA,DBH class
MMEAN_LEAF_DROP_PY,PFT,NA,DBH class
MMEAN_LEAF_MAINTENANCE_PY,PFT,NA,DBH class
MMEAN_ROOT_MAINTENANCE_PY,PFT,NA,DBH class
NPLANT_PY,PFT,NA,DBH class
ROOT_MAINTENANCE_PY,PFT,NA,DBH class
WAI_PY,PFT,NA,DBH class
soil_id,soil,NA,soil depth
DMEAN_SENSIBLE_GG_PY,soil,NA,soil depth
DMEAN_SMOIST_GG_PY,soil,NA,soil depth
DMEAN_SOIL_ENERGY_PY,soil,NA,soil depth
DMEAN_SOIL_FLIQ_PY,soil,NA,soil depth
DMEAN_SOIL_MSTPOT_PY,soil,NA,soil depth
DMEAN_SOIL_TEMP_PY,soil,NA,soil depth
DMEAN_SOIL_WATER_PY,soil,NA,soil depth
DMEAN_TRANSLOSS_PY,soil,NA,soil depth
MMEAN_SENSIBLE_GG_PY,soil,NA,soil depth
MMEAN_SMOIST_GG_PY,soil,NA,soil depth
MMEAN_SOIL_ENERGY_PY,soil,NA,soil depth
MMEAN_SOIL_FLIQ_PY,soil,NA,soil depth
MMEAN_SOIL_MSTPOT_PY,soil,NA,soil depth
MMEAN_SOIL_TEMP_PY,soil,NA,soil depth
MMEAN_SOIL_WATER_PY,soil,NA,soil depth
MMEAN_TRANSLOSS_PY,soil,NA,soil depth
NTEXT_SOIL,soil,NA,soil depth
PATCH_ROOT_DENSITY,soil,NA,soil depth
QMEAN_SENSIBLE_GG_PY,soil,NA,soil depth
QMEAN_SMOIST_GG_PY,soil,NA,soil depth
QMEAN_SOIL_ENERGY_PY,soil,NA,soil depth
QMEAN_SOIL_FLIQ_PY,soil,NA,soil depth
QMEAN_SOIL_MSTPOT_PY,soil,NA,soil depth
QMEAN_SOIL_TEMP_PY,soil,NA,soil depth
QMEAN_SOIL_WATER_PY,soil,NA,soil depth
QMEAN_TRANSLOSS_PY,soil,NA,soil depth
SLZ,soil,NA,soil depth
SOIL_ENERGY_PA,soil,NA,soil depth
SOIL_FRACLIQ_PA,soil,NA,soil depth
SOIL_MSTPOT_PA,soil,NA,soil depth
SOIL_TEMPK_PA,soil,NA,soil depth
SOIL_WATER_PA,soil,NA,soil depth
AVG_MONTHLY_PCPG,other,NA,monthly
DISTURBANCE_MEMORY,other,NA,disturbance type2
DISTURBANCE_RATES,other,NA,disturbance type2
HGT_CLASS,other,NA,height class
LAMBDA_FIRE,other,NA,monthly
WORKLOAD,other,NA,monthly+
