system:time_start,SWIR1
"Mar 24, 1984",682
"May 7, 1984",945
"Jun 1, 1984",
"Jun 8, 1984",620
"Jun 17, 1984",
"Jul 3, 1984","6,051"
"Jul 10, 1984","1,319"
"Jul 19, 1984",
"Aug 20, 1984",780
"Aug 27, 1984",
"Sep 5, 1984",
"Sep 21, 1984",
"Sep 28, 1984",880
"Oct 7, 1984",905
"Oct 14, 1984",706
"Nov 8, 1984",
"Nov 24, 1984",
"Dec 17, 1984",
"Dec 26, 1984",
"Jan 11, 1985",
"Jan 18, 1985",250
"Jan 27, 1985",962
"Feb 3, 1985",301
"Feb 28, 1985",
"Mar 23, 1985",
"Apr 17, 1985",
"Jun 4, 1985",
"Jun 20, 1985",
"Jul 13, 1985","1,199"
"Jul 22, 1985","1,372"
"Jul 29, 1985","1,155"
"Aug 14, 1985","1,159"
"Aug 23, 1985",
"Sep 8, 1985",
"Sep 15, 1985",955
"Oct 1, 1985",
"Oct 10, 1985",
"Oct 17, 1985",592
"Oct 26, 1985",561
"Nov 2, 1985",
"Jan 14, 1986",311
"Jan 30, 1986",179
"Feb 15, 1986",
"Feb 22, 1986",289
"Mar 3, 1986",476
"Apr 20, 1986",
"May 13, 1986","1,129"
"Jun 14, 1986",
"Jun 30, 1986","1,168"
"Jul 16, 1986",
"Jul 25, 1986",
"Aug 10, 1986",
"Aug 17, 1986",978
"Aug 26, 1986",905
"Sep 2, 1986",
"Sep 18, 1986",
"Sep 27, 1986",
"Oct 20, 1986",508
"Oct 29, 1986",437
"Nov 30, 1986",200
"Dec 23, 1986",
"Jan 1, 1987",
"Jan 8, 1987",219
"Jan 17, 1987",95
"Jan 24, 1987",
"Feb 18, 1987",
"Feb 25, 1987",
"Mar 6, 1987",612
"Mar 13, 1987",
"Mar 29, 1987",445
"Apr 14, 1987",
"Apr 23, 1987","3,236"
"May 9, 1987",
"May 16, 1987","1,170"
"Jun 1, 1987",
"Jun 10, 1987","1,356"
"Jun 17, 1987","1,193"
"Jun 26, 1987",
"Jul 12, 1987",
"Jul 19, 1987",
"Jul 28, 1987","1,350"
"Aug 4, 1987","1,209"
"Aug 13, 1987","1,237"
"Aug 20, 1987",
"Sep 5, 1987",
"Sep 14, 1987",
"Sep 21, 1987",
"Oct 16, 1987",631
"Oct 23, 1987",
"Nov 1, 1987",473
"Nov 17, 1987",
"Nov 24, 1987",
"Dec 3, 1987",
"Jan 27, 1988",180
"Feb 5, 1988",342
"Feb 21, 1988",
"Feb 28, 1988",412
"Mar 8, 1988",607
"Mar 24, 1988",
"Mar 31, 1988",473
"Apr 9, 1988",438
"May 2, 1988",
"May 27, 1988",
"Jun 12, 1988","1,361"
"Jun 19, 1988","1,148"
"Jun 28, 1988","1,487"
"Jul 5, 1988",
"Jul 14, 1988",
"Jul 30, 1988",
"Aug 15, 1988",
"Aug 22, 1988",963
"Aug 31, 1988",
"Sep 7, 1988",
"Sep 16, 1988",842
"Oct 2, 1988",
"Oct 9, 1988",
"Nov 19, 1988",
"Nov 26, 1988",332
"Dec 5, 1988",252
"Jan 22, 1989",192
"Feb 23, 1989",
"Mar 2, 1989",
"Mar 11, 1989",
"Mar 27, 1989",384
"Apr 12, 1989",
"Apr 19, 1989",604
"Apr 28, 1989",783
"May 14, 1989",
"May 21, 1989",
"Jun 6, 1989",
"Jul 1, 1989",
"Jul 8, 1989",139
"Jul 17, 1989",
"Jul 24, 1989","1,188"
"Aug 2, 1989",
"Aug 9, 1989","1,030"
"Aug 18, 1989",
"Sep 3, 1989",995
"Sep 10, 1989",
"Sep 26, 1989",
"Oct 5, 1989",631
"Nov 13, 1989",
"Nov 22, 1989",229
"Dec 15, 1989",157
"Dec 24, 1989",862
"Jan 9, 1990",
"Jan 16, 1990",268
"Apr 6, 1990",
"Apr 22, 1990",
"May 1, 1990","1,150"
"May 24, 1990",
"Jun 2, 1990",
"Jul 4, 1990",
"Jul 11, 1990","1,310"
"Jul 27, 1990","1,046"
"Aug 5, 1990",
"Aug 21, 1990",
"Aug 28, 1990",
"Sep 6, 1990",
"Sep 13, 1990",
"Sep 29, 1990",737
"Oct 8, 1990",
"Oct 15, 1990",521
"Oct 31, 1990",393
"Nov 9, 1990",
"Nov 16, 1990",
"Nov 25, 1990",
"Dec 11, 1990",
"Dec 27, 1990",
"Jan 3, 1991",
"Jan 19, 1991",
"Jan 28, 1991",291
"Feb 4, 1991",366
"Feb 13, 1991",
"Mar 1, 1991",
"Mar 8, 1991",
"May 4, 1991","1,078"
"May 11, 1991","1,056"
"May 20, 1991","1,254"
"Jun 21, 1991","1,259"
"Jul 23, 1991","1,111"
"Jul 30, 1991",992
"Aug 8, 1991",
"Aug 24, 1991",952
"Sep 9, 1991",879
"Sep 16, 1991",
"Oct 11, 1991",
"Oct 18, 1991",500
"Oct 27, 1991",
"Nov 3, 1991",402
"Nov 19, 1991",
"Nov 28, 1991",
"Dec 5, 1991",
"Dec 30, 1991",162
"Jan 22, 1992",353
"Feb 7, 1992",
"Mar 3, 1992",
"Apr 4, 1992",
"Apr 20, 1992","4,543"
"May 6, 1992",850
"May 13, 1992",980
"May 22, 1992","1,253"
"May 29, 1992",982
"Jun 7, 1992",
"Jun 14, 1992","1,140"
"Jun 23, 1992","1,127"
"Jul 9, 1992",
"Jul 25, 1992","1,110"
"Aug 1, 1992",
"Aug 26, 1992",496
"Sep 2, 1992",755
"Sep 11, 1992",
"Sep 18, 1992",852
"Oct 4, 1992",571
"Oct 13, 1992",
"Oct 20, 1992",
"Nov 5, 1992",
"Feb 2, 1993",268
"Feb 9, 1993",
"Feb 18, 1993",
"Feb 25, 1993",389
"Apr 7, 1993",806
"Apr 14, 1993",
"Apr 30, 1993",
"May 9, 1993",958
"May 25, 1993",
"Jun 10, 1993",
"Jun 17, 1993","1,005"
"Jun 26, 1993",
"Jul 28, 1993",
"Aug 4, 1993",
"Aug 13, 1993",
"Aug 29, 1993",
"Sep 5, 1993",
"Sep 21, 1993",
"Sep 30, 1993",
"Oct 7, 1993",568
"Oct 16, 1993",567
"Oct 23, 1993",850
"Nov 8, 1993",
"Dec 3, 1993",
"Dec 26, 1993",
"Jan 20, 1994",248
"Jan 27, 1994",343
"Feb 5, 1994",
"Feb 12, 1994",332
"Feb 28, 1994",314
"Apr 1, 1994",577
"Apr 26, 1994",
"May 3, 1994",592
"Jun 4, 1994",926
"Jun 13, 1994","1,100"
"Jun 20, 1994",920
"Jul 6, 1994",
"Jul 22, 1994",
"Jul 31, 1994","1,149"
"Aug 7, 1994",802
"Aug 16, 1994",
"Aug 23, 1994",694
"Sep 8, 1994",
"Sep 17, 1994","3,935"
"Oct 3, 1994",511
"Oct 10, 1994",
"Oct 26, 1994",
"Nov 4, 1994",
"Nov 11, 1994",
"Nov 27, 1994",145
"Dec 13, 1994",163
"Dec 22, 1994",225
"Dec 29, 1994",
"Jan 14, 1995",
"Jan 30, 1995",236
"Feb 8, 1995",263
"Mar 12, 1995",604
"Mar 19, 1995",
"Mar 28, 1995",547
"May 6, 1995",682
"May 31, 1995","1,042"
"Jun 7, 1995",
"Jun 16, 1995","1,092"
"Jun 23, 1995",801
"Jul 2, 1995",
"Jul 18, 1995",
"Jul 25, 1995",
"Aug 10, 1995",743
"Aug 19, 1995",
"Sep 4, 1995",845
"Sep 11, 1995",650
"Sep 20, 1995",
"Sep 27, 1995",382
"Oct 13, 1995",439
"Oct 22, 1995",
"Nov 7, 1995",
"Nov 30, 1995",161
"Jan 26, 1996",
"Feb 2, 1996",
"Feb 18, 1996",619
"Feb 27, 1996",374
"Mar 14, 1996",
"Mar 30, 1996",562
"Apr 6, 1996",538
"Apr 15, 1996",196
"Apr 22, 1996",
"May 1, 1996",
"May 8, 1996",
"May 24, 1996",816
"Jun 2, 1996","1,079"
"Jun 9, 1996",
"Jun 18, 1996",
"Jul 11, 1996",862
"Jul 20, 1996",
"Aug 5, 1996",950
"Aug 12, 1996",
"Aug 21, 1996",952
"Aug 28, 1996",
"Sep 6, 1996",559
"Sep 22, 1996",
"Sep 29, 1996",
"Oct 8, 1996",
"Oct 15, 1996",442
"Oct 31, 1996",271
"Nov 16, 1996",175
"Dec 27, 1996",
"Jan 12, 1997",
"Jan 19, 1997",
"Feb 4, 1997",
"Feb 13, 1997",313
"Feb 20, 1997",336
"May 11, 1997",
"May 20, 1997",
"May 27, 1997",
"Jun 12, 1997",979
"Jun 21, 1997",
"Jun 28, 1997",974
"Jul 7, 1997",
"Jul 14, 1997","1,133"
"Jul 23, 1997","1,020"
"Jul 30, 1997",
"Aug 31, 1997",
"Sep 16, 1997",
"Sep 25, 1997",
"Oct 2, 1997",
"Oct 11, 1997",515
"Nov 3, 1997",
"Dec 14, 1997",260
"Dec 21, 1997",95
"Jan 22, 1998",286
"Feb 7, 1998",287
"Feb 16, 1998",571
"Mar 11, 1998",448
"Apr 21, 1998",
"Apr 28, 1998",726
"May 7, 1998",
"May 14, 1998",876
"May 23, 1998","1,031"
"May 30, 1998",900
"Jun 15, 1998",
"Jul 10, 1998",
"Jul 17, 1998","1,061"
"Jul 26, 1998",
"Aug 2, 1998",
"Aug 27, 1998",854
"Sep 3, 1998",
"Sep 12, 1998",
"Sep 19, 1998",
"Oct 5, 1998",644
"Oct 30, 1998",
"Nov 22, 1998",
"Dec 24, 1998",
"Jan 2, 1999",
"Jan 25, 1999",
"Feb 3, 1999",
"Feb 26, 1999",373
"Mar 7, 1999",436
"Mar 23, 1999",
"Mar 30, 1999",206
"Apr 8, 1999",
"Apr 15, 1999",536
"Apr 24, 1999",678
"May 1, 1999",656
"May 10, 1999",
"May 17, 1999",823
"Jun 2, 1999",
"Jun 11, 1999","1,081"
"Jun 18, 1999",
"Jun 27, 1999",
"Jul 4, 1999",
