wavelength
365.93
375.59
385.26
394.94
404.61
414.29
423.98
433.67
443.37
453.07
462.77
472.48
482.19
491.91
501.63
511.35
521.08
530.82
540.56
550.3
560.05
569.8
579.56
589.32
599.08
608.85
618.62
628.4
638.19
647.97
657.76
667.56
655.79
665.6
675.4
685.2
694.99
704.77
714.56
724.33
734.1
743.87
753.63
763.38
773.13
782.88
792.62
802.35
812.08
821.8
831.52
841.24
850.94
860.65
870.34
880.04
889.73
899.41
909.08
918.75
928.42
938.08
947.74
957.39
967.03
976.68
986.31
995.94
1005.57
1015.18
1024.8
1034.41
1044.01
1053.61
1063.21
1072.79
1082.38
1091.95
1101.52
1111.09
1120.65
1130.21
1139.77
1149.31
1158.85
1168.39
1177.92
1187.45
1196.97
1206.48
1215.99
1225.5
1235
1244.49
1253.98
1263.46
1253.37
1263.35
1273.32
1283.29
1293.26
1303.23
1313.21
1323.18
1333.15
1343.12
1353.09
1363.06
1373.03
1383
1392.97
1402.94
1412.91
1422.88
1432.84
1442.81
1452.78
1462.75
1472.72
1482.68
1492.65
1502.62
1512.59
1522.55
1532.52
1542.48
1552.45
1562.42
1572.38
1582.35
1592.31
1602.28
1612.24
1622.2
1632.17
1642.13
1652.09
1662.06
1672.02
1681.98
1691.94
1701.91
1711.87
1721.83
1731.79
1741.75
1751.71
1761.68
1771.64
1781.59
1791.56
1801.51
1811.48
1821.43
1831.39
1841.35
1851.31
1861.27
1871.23
1872.38
1866.86
1876.92
1886.98
1897.04
1907.1
1917.15
1927.2
1937.25
1947.29
1957.33
1967.38
1977.41
1987.45
1997.48
2007.51
2017.54
2027.57
2037.6
2047.62
2057.64
2067.66
2077.67
2087.69
2097.7
2107.71
2117.71
2127.71
2137.72
2147.72
2157.71
2167.71
2177.7
2187.69
2197.68
2207.66
2217.64
2227.62
2237.6
2247.58
2257.56
2267.53
2277.5
2287.46
2297.43
2307.39
2317.35
2327.31
2337.26
2347.22
2357.17
2367.12
2377.06
2387.01
2396.95
2406.89
2416.82
2426.76
2436.69
2446.62
2456.55
2466.47
2476.4
2486.32
2496.24
