site,date,BLUE,GREEN,NIR,RED,SWIR1,SWIR2
AK60,1984-03-24,3157,3168,3962,3350,682,507
AK60,1984-05-07,736,884,2036,927,945,560
AK60,1984-06-08,405,507,1479,399,620,380
AK60,1984-07-03,3326,5496,7198,5435,6051,5537
AK60,1984-07-10,202,436,2649,305,1319,641
AK60,1984-08-20,216,386,1701,238,780,369
AK60,1984-09-28,225,309,1401,327,880,401
AK60,1984-10-07,285,356,1396,369,905,526
AK60,1984-10-14,128,280,1154,212,706,500
AK60,1985-01-18,2145,2014,2032,1787,250,136
AK60,1985-01-27,3962,3944,4177,3832,962,714
AK60,1985-02-03,2734,2511,2590,2419,301,185
AK60,1985-07-13,216,374,2448,276,1199,591
AK60,1985-07-22,254,456,2919,315,1372,641
AK60,1985-07-29,224,368,2405,269,1155,544
AK60,1985-08-14,191,373,2472,267,1159,572
AK60,1985-09-15,131,230,1629,224,955,498
AK60,1985-10-17,152,186,1040,173,592,304
AK60,1985-10-26,156,221,951,196,561,328
AK60,1986-01-14,2038,1812,1922,1602,311,138
AK60,1986-01-30,2615,2458,2558,2299,179,124
AK60,1986-02-22,2569,2534,2769,2374,289,210
AK60,1986-03-03,2681,2735,3192,2620,476,404
AK60,1986-05-13,165,320,1495,313,1129,663
AK60,1986-06-30,201,469,2779,304,1168,552
AK60,1986-08-17,232,354,2136,244,978,466
AK60,1986-08-26,209,342,1909,230,905,471
AK60,1986-10-20,113,160,869,235,508,207
AK60,1986-10-29,258,211,895,188,437,224
AK60,1986-11-30,597,593,944,465,200,217
AK60,1987-01-08,2347,2202,1652,1784,219,242
AK60,1987-01-17,2726,2357,1874,2090,95,58
AK60,1987-03-06,3705,3726,3839,3632,612,507
AK60,1987-03-29,1942,2031,2877,2057,445,197
AK60,1987-04-23,2e4,5511,5631,5338,3236,2697
AK60,1987-05-16,223,378,1661,365,1170,659
AK60,1987-06-10,260,484,2908,344,1356,646
AK60,1987-06-17,174,492,2828,299,1193,576
AK60,1987-07-28,192,418,2767,279,1350,606
AK60,1987-08-04,369,492,2543,311,1209,520
AK60,1987-08-13,207,394,2490,287,1237,597
AK60,1987-10-16,301,351,1211,275,631,414
AK60,1987-11-01,207,183,1070,160,473,349
AK60,1988-01-27,2443,2210,2e3,1965,180,124
AK60,1988-02-05,1737,1572,2088,1434,342,313
AK60,1988-02-28,2697,2751,3076,2608,412,357
AK60,1988-03-08,1964,1876,2785,1844,607,377
AK60,1988-03-31,1426,1587,2480,1524,473,269
AK60,1988-04-09,1353,1431,2467,1344,438,260
AK60,1988-06-12,346,514,2613,380,1361,697
AK60,1988-06-19,182,455,2491,267,1148,508
AK60,1988-06-28,301,534,3230,358,1487,688
AK60,1988-08-22,182,298,2316,228,963,563
AK60,1988-09-16,149,307,1923,188,842,413
AK60,1988-11-26,479,340,1042,337,332,123
AK60,1988-12-05,1599,1284,1418,1177,252,219
AK60,1989-01-22,2291,2113,2048,1897,192,132
AK60,1989-03-27,1699,1845,2868,1780,384,286
AK60,1989-04-19,971,1067,2237,1115,604,320
AK60,1989-04-28,744,917,2295,923,783,420
AK60,1989-07-08,151,155,610,53,139,51
AK60,1989-07-24,518,636,3124,348,1188,571
AK60,1989-08-09,301,438,2454,290,1030,440
AK60,1989-09-03,214,350,2128,232,995,435
AK60,1989-10-05,145,213,1320,197,631,323
AK60,1989-11-22,2112,1911,2034,1739,229,275
AK60,1989-12-15,1505,1279,1450,1156,157,150
AK60,1989-12-24,2661,2509,2859,2465,862,687
AK60,1990-01-16,2624,2226,2111,2e3,268,147
AK60,1990-05-01,468,564,1946,531,1150,668
AK60,1990-07-11,288,606,3251,391,1310,684
AK60,1990-07-27,241,432,2683,227,1046,438
AK60,1990-09-29,991,1e3,2076,851,737,328
AK60,1990-10-15,374,439,883,343,521,304
AK60,1990-10-31,226,258,1133,220,393,165
AK60,1991-01-28,1956,1665,2032,1634,291,208
AK60,1991-02-04,980,892,1682,751,366,194
AK60,1991-05-04,538,637,1991,620,1078,567
AK60,1991-05-11,182,316,1745,313,1056,496
AK60,1991-05-20,231,374,2133,392,1254,654
AK60,1991-06-21,362,563,3128,415,1259,598
AK60,1991-07-23,419,645,3190,438,1111,403
AK60,1991-07-30,173,298,2484,250,992,439
AK60,1991-08-24,443,580,2276,442,952,467
AK60,1991-09-09,259,368,2142,280,879,503
AK60,1991-10-18,202,253,1186,227,500,259
AK60,1991-11-03,371,441,1221,374,402,168
AK60,1991-12-30,1164,1044,1492,913,162,62
AK60,1992-01-22,1755,1648,1948,1539,353,378
AK60,1992-04-20,2e4,5845,6365,5900,4543,3620
AK60,1992-05-06,3399,3456,4207,3434,850,527
AK60,1992-05-13,371,485,1850,450,980,457
AK60,1992-05-22,384,575,2218,493,1253,655
AK60,1992-05-29,252,442,1894,358,982,540
AK60,1992-06-14,480,641,2590,505,1140,563
AK60,1992-06-23,327,574,2763,371,1127,543
AK60,1992-07-25,316,477,2805,315,1110,547
AK60,1992-08-26,317,440,1761,297,496,268
AK60,1992-09-02,232,382,1936,298,755,355
AK60,1992-09-18,509,582,2177,482,852,351
AK60,1992-10-04,201,269,1427,233,571,228
AK60,1993-02-02,2334,2156,2364,2043,268,193
AK60,1993-02-25,2796,2851,3236,2730,389,204
AK60,1993-04-07,1811,1967,3164,1868,806,463
AK60,1993-05-09,368,530,2100,429,958,531
AK60,1993-06-17,158,359,2192,268,1005,448
AK60,1993-10-07,298,378,1464,315,568,292
AK60,1993-10-16,235,244,1282,252,567,200
AK60,1993-10-23,571,587,1605,616,850,663
AK60,1994-01-20,2456,2137,2182,1966,248,218
AK60,1994-01-27,2149,2196,2190,1859,343,288
AK60,1994-02-12,1379,1353,1976,1206,332,241
AK60,1994-02-28,2105,2055,2714,2039,314,146
AK60,1994-04-01,1647,1833,2967,1795,577,364
AK60,1994-05-03,666,770,2154,769,592,312
AK60,1994-06-04,171,339,1924,304,926,513
AK60,1994-06-13,302,424,2526,341,1100,494
AK60,1994-06-20,168,296,2248,216,920,417
AK60,1994-07-31,375,486,2979,384,1149,566
AK60,1994-08-07,151,307,2166,214,802,367
AK60,1994-08-23,218,287,2074,224,694,300
AK60,1994-09-17,2e4,5125,5584,5092,3935,3030
AK60,1994-10-03,230,278,1488,237,511,279
AK60,1994-11-27,1031,987,1325,881,145,56
AK60,1994-12-13,826,747,1055,538,163,63
AK60,1994-12-22,256,176,810,178,225,60
AK60,1995-01-30,997,924,1533,830,236,208
AK60,1995-02-08,1936,1698,2109,1670,263,189
AK60,1995-03-12,1131,1060,2224,936,604,293
AK60,1995-03-28,488,561,2079,538,547,251
AK60,1995-05-06,262,381,1812,333,682,321
AK60,1995-05-31,329,512,2193,375,1042,501
AK60,1995-06-16,231,447,2679,295,1092,489
AK60,1995-06-23,329,445,2543,288,801,355
AK60,1995-08-10,104,257,2228,167,743,309
AK60,1995-09-04,280,400,2318,298,845,427
AK60,1995-09-11,113,185,1860,168,650,346
AK60,1995-09-27,304,342,1164,245,382,181
AK60,1995-10-13,203,230,1272,191,439,265
AK60,1995-11-30,-117,-126,836,-64,161,124
AK60,1996-02-18,2935,2800,3370,2855,619,560
AK60,1996-02-27,681,720,1817,618,374,215
AK60,1996-03-30,901,887,2392,801,562,288
AK60,1996-04-06,752,846,2219,769,538,276
AK60,1996-04-15,1715,1814,2750,1811,196,142
AK60,1996-05-24,202,308,1869,280,816,342
AK60,1996-06-02,225,436,2320,351,1079,483
AK60,1996-07-11,187,350,2531,225,862,350
AK60,1996-08-05,211,386,2778,206,950,413
AK60,1996-08-21,285,353,2728,259,952,435
AK60,1996-09-06,271,316,1470,236,559,284
AK60,1996-10-15,144,146,1227,131,442,141
AK60,1996-10-31,212,271,1190,169,271,225
AK60,1996-11-16,951,885,1525,869,175,121
AK60,1997-02-13,2162,2026,2343,1968,313,229
AK60,1997-02-20,1197,1173,1994,1083,336,215
AK60,1997-06-12,271,438,2255,290,979,410
AK60,1997-06-28,185,325,2710,231,974,374
AK60,1997-07-14,577,565,3219,447,1133,547
AK60,1997-07-23,212,401,2906,237,1020,418
AK60,1997-10-11,118,136,1449,182,515,282
AK60,1997-12-14,1939,1723,1697,1584,260,139
AK60,1997-12-21,827,747,976,557,95,144
AK60,1998-01-22,1556,1506,1549,1342,286,281
AK60,1998-02-07,309,376,1319,295,287,109
AK60,1998-02-16,935,957,1892,807,571,336
AK60,1998-03-11,1445,1475,2526,1416,448,310
AK60,1998-04-28,232,365,1914,320,726,308
AK60,1998-05-14,183,300,1951,302,876,406
AK60,1998-05-23,260,384,2470,310,1031,497
AK60,1998-05-30,153,286,2238,264,900,431
AK60,1998-07-17,372,516,2973,379,1061,461
AK60,1998-08-27,199,312,2308,212,854,338
AK60,1998-10-05,321,449,1560,376,644,361
AK60,1999-02-26,415,460,1387,366,373,247
AK60,1999-03-07,1528,1465,2493,1378,436,274
AK60,1999-03-30,740,614,1021,580,206,149
AK60,1999-04-15,457,550,1894,498,536,212
AK60,1999-04-24,558,631,2160,593,678,309
AK60,1999-05-01,349,535,1989,429,656,273
AK60,1999-05-17,175,359,1903,295,823,403
AK60,1999-06-11,238,435,2789,300,1081,464
AK60,1999-07-13,218,478,3047,299,1001,410
AK60,1999-07-21,195,341,3114,187,1084,437
AK60,1999-07-28,292,482,2931,319,1006,469
AK60,1999-08-29,422,459,2791,256,824,270
AK60,1999-09-23,135,216,2021,106,594,196
AK60,1999-10-01,338,345,1906,293,604,309
AK60,1999-10-08,242,318,1661,271,602,227
AK60,1999-10-09,676,615,1191,509,481,285
AK60,1999-11-01,105,126,1260,141,360,153
AK60,1999-12-12,643,566,1470,503,167,90
AK60,1999-12-19,1098,978,1349,838,89,49
AK60,2000-01-29,1804,1615,1908,1472,207,131
AK60,2000-02-22,2257,2280,2828,2138,289,266
AK60,2000-02-29,1248,1317,2188,1228,232,192
AK60,2000-03-24,417,426,1800,353,470,217
AK60,2000-04-01,1109,1115,2339,1082,473,310
AK60,2000-04-25,307,450,2059,323,647,298
AK60,2000-05-03,256,349,2003,340,625,270
AK60,2000-05-04,390,499,2348,370,748,320
AK60,2000-06-20,162,351,2477,261,957,367
AK60,2000-06-28,332,515,2943,341,1078,541
AK60,2000-07-07,281,343,2514,143,656,262
AK60,2000-07-23,251,385,3280,162,1047,369
AK60,2000-08-15,286,334,2674,162,822,294
AK60,2000-08-16,119,242,1267,125,415,173
AK60,2000-08-24,249,383,2812,174,892,324
AK60,2000-09-25,160,268,1831,169,548,257
AK60,2000-10-02,181,262,1616,156,518,211
AK60,2000-10-26,323,248,639,155,205,89
AK60,2000-11-03,217,230,1366,208,561,278
AK60,2000-12-06,1195,1075,1360,1075,191,133
AK60,2000-12-13,1365,1251,1431,1095,200,222
AK60,2000-12-29,1621,1417,1643,1358,41,59
AK60,2001-02-24,1482,1470,2334,1351,305,250
AK60,2001-03-12,1988,1933,2805,1828,382,167
AK60,2001-03-19,1253,1255,2401,1194,362,201
AK60,2001-04-05,1737,1748,3075,1656,485,223
AK60,2001-04-20,800,945,2337,871,549,278
AK60,2001-04-28,546,664,2150,595,597,250
AK60,2001-05-06,258,411,1915,361,632,263
AK60,2001-05-07,300,438,2288,354,781,290
AK60,2001-05-15,218,440,2348,327,903,398
AK60,2001-06-08,209,351,2475,231,1020,481
AK60,2001-06-15,604,732,2908,583,1308,691
AK60,2001-07-02,253,430,3135,258,987,497
AK60,2001-07-09,178,362,2493,239,810,339
AK60,2001-07-10,379,423,2044,214,578,223
AK60,2001-07-18,236,380,2917,249,959,412
AK60,2001-07-25,146,307,2536,192,836,387
AK60,2001-07-26,219,353,2657,173,853,355
AK60,2001-08-02,120,276,2488,120,728,312
AK60,2001-08-11,192,335,2737,186,881,365
AK60,2001-08-19,275,408,2716,214,873,334
AK60,2001-08-26,214,373,2389,257,814,302
AK60,2001-09-03,167,277,2117,157,621,234
AK60,2001-09-12,196,252,2160,130,675,243
AK60,2001-10-14,274,288,1543,243,508,199
AK60,2001-10-29,700,759,1615,657,334,155
AK60,2001-10-30,132,204,1309,98,355,184
AK60,2001-12-16,591,603,1130,515,126,133
AK60,2002-02-02,524,482,1093,486,76,-19
AK60,2002-02-11,2065,1986,2276,1912,191,227
AK60,2002-02-18,1315,1286,1954,1262,247,208
AK60,2002-02-26,407,416,1655,318,423,169
AK60,2002-03-14,383,432,1744,353,364,83
AK60,2002-04-24,530,614,2323,559,633,278
AK60,2002-05-10,245,367,2178,261,873,335
AK60,2002-06-10,165,352,2039,261,868,334
AK60,2002-06-26,824,932,3638,657,1411,726
AK60,2002-07-04,229,342,2637,186,875,321
AK60,2002-07-13,256,376,2916,211,1015,391
AK60,2002-07-20,167,324,2447,132,791,274
AK60,2002-08-05,396,355,2846,253,926,364
AK60,2002-08-14,729,585,3263,263,1019,398
AK60,2002-08-21,126,255,2153,129,687,272
AK60,2002-08-30,152,225,2272,115,664,313
AK60,2002-09-06,113,240,1990,122,631,293
AK60,2002-09-07,158,276,2168,145,659,236
AK60,2002-09-14,247,338,2018,258,680,331
AK60,2002-09-30,223,330,1767,243,594,319
AK60,2002-10-25,678,696,1749,654,286,151
AK60,2002-11-09,332,367,1397,385,548,335
AK60,2002-12-03,1882,1658,1830,1674,191,133
AK60,2002-12-04,1867,1604,1756,1572,135,98
AK60,2003-01-21,2019,1870,1956,1710,133,189
AK60,2003-02-21,1896,1926,2282,1767,252,210
AK60,2003-03-17,964,977,2037,869,591,356
AK60,2003-03-18,605,579,1904,515,501,257
AK60,2003-04-10,1679,1730,2611,1667,143,63
AK60,2003-04-27,282,402,2075,335,654,349
AK60,2003-05-04,280,437,2008,363,661,296
AK60,2003-05-21,2e4,4690,5487,4696,4310,3329
AK60,2003-06-06,304,436,2355,319,963,474
AK60,2003-07-15,67,130,711,106,131,48
AK60,2003-07-31,259,379,2513,204,800,315
AK60,2003-08-17,330,431,2687,180,877,371
AK60,2003-08-24,172,236,2049,129,661,294
AK60,2003-08-25,415,486,2674,340,868,383
AK60,2003-09-10,253,321,2157,246,678,273
AK60,2003-09-18,339,522,1942,380,780,573
AK60,2003-09-26,221,265,1788,233,534,303
AK60,2003-10-03,655,643,1872,643,363,264
AK60,2003-10-11,152,217,1346,107,491,97
AK60,2003-10-12,194,286,1657,203,566,240
AK60,2003-11-21,209,202,1040,57,256,91
AK60,2004-01-15,1813,1672,1843,1567,137,100
AK60,2004-01-23,2497,2401,2549,2284,562,340
AK60,2004-02-16,1715,1543,2061,1534,212,149
AK60,2004-02-25,1289,1210,2096,1100,228,203
AK60,2004-03-11,715,729,1853,675,261,121
AK60,2004-03-28,412,431,1959,404,540,238
AK60,2004-04-05,4101,4183,4748,4135,3482,3314
AK60,2004-04-20,211,322,1725,260,501,211
AK60,2004-04-21,2e4,4477,4856,4338,4263,3454
AK60,2004-05-07,291,393,2093,318,888,412
AK60,2004-05-14,657,568,1095,421,324,119
AK60,2004-05-30,149,287,2037,206,774,424
AK60,2004-06-07,633,578,2142,386,768,336
AK60,2004-06-08,430,544,2659,405,1136,549
AK60,2004-06-16,191,362,2643,210,1008,448
AK60,2004-06-23,152,284,2281,172,790,332
AK60,2004-06-24,260,429,2728,286,1028,471
AK60,2004-07-02,232,409,2845,187,956,479
AK60,2004-08-02,135,192,1362,98,453,243
AK60,2004-08-18,913,857,1570,599,376,127
AK60,2004-09-03,140,248,1811,163,657,227
AK60,2004-09-27,146,177,1394,109,507,239
AK60,2004-10-05,75,208,1208,144,448,169
AK60,2004-10-13,149,172,1149,137,435,196
AK60,2004-10-14,452,486,1787,442,843,498
AK60,2004-10-29,439,437,1351,387,687,425
AK60,2004-11-15,176,144,962,112,292,177
AK60,2004-11-23,83,116,843,49,304,42
AK60,2004-12-16,1616,1359,1142,1131,94,106
AK60,2005-01-18,1306,1037,1482,1027,177,124
AK60,2005-01-25,1160,1144,1644,999,219,120
AK60,2005-02-02,348,299,1038,242,282,127
AK60,2005-02-11,1827,1552,2119,1629,261,156
AK60,2005-02-27,2181,2014,2505,1989,287,231
AK60,2005-03-15,1828,1762,2710,1714,365,203
AK60,2005-03-22,866,834,1894,767,506,249
AK60,2005-03-30,274,401,1586,341,497,226
AK60,2005-04-08,343,467,1807,362,542,211
AK60,2005-04-16,454,518,1956,449,836,382
AK60,2005-05-09,201,289,1719,255,658,344
AK60,2005-05-10,287,426,2031,345,901,442
AK60,2005-06-19,327,540,3234,252,1278,565
AK60,2005-06-26,200,384,2491,192,846,344
AK60,2005-06-27,328,477,3070,294,1092,516
AK60,2005-07-04,266,428,2630,255,845,368
AK60,2005-07-13,255,397,2412,288,793,306
AK60,2005-07-20,202,314,2962,255,1207,513
AK60,2005-07-21,238,281,2542,166,818,346
AK60,2005-07-28,108,239,2284,127,710,254
AK60,2005-08-05,161,281,1826,167,629,281
AK60,2005-08-21,289,370,2340,290,648,250
AK60,2005-09-06,122,291,1760,164,629,266
AK60,2005-09-14,219,259,1790,132,575,275
AK60,2005-10-01,174,235,1572,172,539,260
AK60,2006-01-04,1036,981,1508,849,303,220
AK60,2006-01-28,644,628,1353,430,307,118
AK60,2006-03-01,906,971,1919,867,347,182
AK60,2006-04-02,453,454,1769,423,350,142
AK60,2006-04-18,195,337,1712,267,575,279
AK60,2006-04-19,263,342,1957,240,716,287
AK60,2006-04-27,498,491,2086,452,858,445
AK60,2006-05-04,259,368,1828,327,764,374
AK60,2006-06-21,248,438,2502,333,930,456
AK60,2006-07-07,520,643,2798,467,963,365
AK60,2006-07-08,520,517,1882,299,308,107
AK60,2006-07-16,225,391,2680,262,1018,443
AK60,2006-08-08,162,224,957,117,263,125
AK60,2006-08-09,180,294,2358,187,894,310
AK60,2006-08-17,313,381,2736,273,1053,431
AK60,2006-09-17,237,261,1725,218,637,220
AK60,2006-09-18,273,389,1925,300,803,406
AK60,2006-10-27,827,905,1607,864,135,92
AK60,2006-11-21,913,833,1315,762,208,181
AK60,2006-12-14,127,251,782,181,251,137
AK60,2007-02-16,1832,1896,1995,1676,209,149
AK60,2007-03-29,402,416,1753,389,557,300
AK60,2007-04-21,602,619,1953,583,597,304
AK60,2007-05-07,276,428,1893,378,760,395
AK60,2007-05-08,332,453,2058,383,828,383
AK60,2007-05-23,218,310,1843,256,811,397
AK60,2007-05-31,454,531,2684,336,1087,465
AK60,2007-06-09,144,246,1549,140,617,223
AK60,2007-06-16,162,316,2485,113,791,335
AK60,2007-06-17,453,688,3217,511,1082,505
AK60,2007-08-03,339,292,2141,208,655,261
AK60,2007-08-04,228,337,2491,217,917,414
AK60,2007-08-11,199,280,2178,166,648,278
AK60,2007-08-27,219,322,2211,196,672,252
AK60,2007-09-04,140,215,2106,122,673,262
AK60,2007-09-05,196,367,2232,226,721,378
AK60,2007-09-20,212,238,1782,109,536,196
AK60,2007-10-22,117,186,1239,93,400,212
AK60,2008-02-19,514,436,522,390,63,36
AK60,2008-02-27,2525,2262,2309,2141,550,373
AK60,2008-03-07,1868,1814,2337,1622,357,283
AK60,2008-03-14,1663,1531,1899,1526,139,88
AK60,2008-03-22,1696,1833,2218,1727,231,108
AK60,2008-03-23,2253,2245,2688,2250,199,75
AK60,2008-04-07,462,639,1884,539,555,256
AK60,2008-04-15,412,482,1870,377,556,287
AK60,2008-04-16,410,478,1964,411,670,315
AK60,2008-04-24,374,480,2017,440,787,371
AK60,2008-05-17,246,331,1985,242,710,313
AK60,2008-05-25,109,311,1892,257,836,355
AK60,2008-06-02,194,321,1965,221,767,333
AK60,2008-06-10,227,516,2491,337,942,440
AK60,2008-07-29,311,418,2915,262,951,403
AK60,2008-08-14,133,260,2460,134,796,319
AK60,2008-08-22,166,300,2285,208,730,253
AK60,2008-09-07,200,326,2043,224,639,271
AK60,2008-09-22,216,237,1733,126,541,226
AK60,2008-09-23,242,368,1853,246,600,159
AK60,2008-10-24,343,388,1371,350,542,320
AK60,2008-11-01,172,187,1205,157,301,159
AK60,2008-11-02,197,206,1255,93,324,112
AK60,2009-01-20,2130,1999,2072,1835,276,272
AK60,2009-01-21,2264,2054,2332,1984,225,190
AK60,2009-02-05,1307,1243,1457,1119,153,169
AK60,2009-02-14,1297,1322,2256,1242,371,211
AK60,2009-03-25,302,401,1714,341,530,269
AK60,2009-04-10,431,554,1887,499,468,214
AK60,2009-04-19,340,446,2010,416,615,276
AK60,2009-04-27,474,573,2183,471,868,481
AK60,2009-05-21,214,381,2215,259,936,426
AK60,2009-06-06,467,579,2733,463,1063,571
AK60,2009-06-22,293,549,2897,366,1027,472
AK60,2009-07-15,171,356,2360,209,793,297
AK60,2009-08-01,138,73,580,23,68,NA
AK60,2009-08-17,341,418,2704,234,879,348
AK60,2009-08-25,182,200,991,122,225,131
AK60,2009-09-01,147,280,1902,190,637,259
AK60,2009-09-02,253,304,2192,142,665,254
AK60,2009-09-10,349,469,2104,335,872,428
AK60,2009-09-26,174,263,1727,198,605,250
AK60,2009-10-12,358,326,1142,273,408,176
AK60,2009-10-19,105,253,1207,128,435,190
AK60,2009-10-27,249,289,1232,263,452,298
AK60,2010-01-23,1396,1318,1428,1190,125,49
AK60,2010-02-01,1526,1473,1948,1363,243,239
AK60,2010-02-09,1378,1156,1921,1109,305,160
AK60,2010-03-04,1694,1644,2346,1546,304,223
AK60,2010-03-05,1289,1189,2294,1201,244,128
AK60,2010-04-13,470,505,1937,426,802,431
AK60,2010-04-21,342,407,1976,331,733,308
AK60,2010-05-07,402,519,1956,425,900,527
AK60,2010-05-16,234,359,2185,252,881,401
AK60,2010-05-24,338,526,2561,397,1170,543
AK60,2010-05-31,206,367,2210,275,795,367
AK60,2010-06-25,190,449,2736,253,991,430
AK60,2010-07-03,130,366,2716,176,928,383
AK60,2010-07-27,258,402,2811,263,1008,449
AK60,2010-08-11,162,244,2108,151,712,240
AK60,2010-08-20,170,293,2251,144,749,342
AK60,2010-08-27,134,247,1872,116,621,274
AK60,2010-08-28,241,313,2116,183,634,296
AK60,2010-11-24,88,81,820,19,166,88
AK60,2011-02-04,1124,1046,1603,988,115,168
AK60,2011-02-11,1816,1825,2064,1681,260,100
AK60,2011-03-08,1231,1245,2102,1164,362,219
AK60,2011-03-24,915,919,2136,852,237,111
AK60,2011-05-10,232,324,1856,236,691,290
AK60,2011-05-11,262,397,2069,322,752,368
AK60,2011-06-03,103,307,2025,227,779,350
AK60,2011-06-04,310,459,2488,311,999,441
AK60,2011-06-19,449,628,2500,536,1018,593
AK60,2011-06-20,143,380,2788,207,1003,378
AK60,2011-06-27,146,304,2516,140,813,313
AK60,2011-07-05,440,599,2719,414,958,473
AK60,2011-07-06,284,400,2975,201,1007,415
AK60,2011-07-14,207,358,2732,262,978,366
AK60,2011-07-22,172,334,2678,179,974,372
AK60,2011-07-30,227,384,2752,253,941,414
AK60,2011-09-16,182,309,2008,203,643,272
AK60,2011-10-09,107,208,1371,186,536,178
AK60,2011-10-10,169,214,1629,185,482,189
AK60,2011-11-02,141,151,1193,138,360,113
AK60,2011-11-27,41,99,901,40,301,137
AK60,2011-12-20,609,533,1127,426,42,-55
AK60,2012-03-18,243,304,1666,206,575,225
AK60,2012-04-03,281,336,1861,246,638,328
AK60,2012-08-16,169,290,2403,131,715,262
AK60,2012-09-17,202,247,1904,160,682,246
AK60,2013-04-06,627,690,2100,535,501,295
AK60,2013-04-21,232,325,1852,252,576,275
AK60,2013-05-31,208,296,2032,169,768,359
AK60,2013-06-01,235,415,2534,291,1074,526
AK60,2013-07-18,305,336,2639,235,911,400
AK60,2013-07-27,433,454,1523,408,750,418
AK60,2013-08-11,163,290,2378,140,703,272
AK60,2013-08-12,274,418,2909,217,1e3,362
AK60,2013-08-19,190,171,948,85,211,63
AK60,2013-08-20,172,304,2347,164,787,313
AK60,2013-08-28,222,298,2380,162,778,278
AK60,2013-09-04,132,251,1935,155,615,231
AK60,2013-09-20,209,277,1748,185,611,278
AK60,2013-09-28,73,192,1579,125,517,216
AK60,2013-10-23,237,317,1635,280,831,632
AK60,2013-12-25,563,616,1113,447,86,100
AK60,2014-01-03,1661,1463,1534,1283,143,103
AK60,2014-02-11,2094,1904,2435,1821,328,268
AK60,2014-02-12,1637,1560,2090,1534,179,186
AK60,2014-02-20,1247,1206,1998,1096,336,212
AK60,2014-02-28,940,1044,1892,1170,58,160
AK60,2014-03-07,593,689,1281,679,88,90
AK60,2014-03-23,1076,1227,2290,1273,146,205
AK60,2014-03-24,1634,1659,2503,1583,281,212
AK60,2014-04-01,342,457,1447,385,183,86
AK60,2014-04-24,131,263,1721,193,566,269
AK60,2014-05-11,271,411,2105,278,839,422
AK60,2014-06-19,172,323,2299,182,826,332
AK60,2014-06-20,189,408,2654,233,965,447
AK60,2014-06-27,215,397,2708,220,869,363
AK60,2014-07-06,209,404,2756,224,918,394
AK60,2014-07-22,172,348,2658,180,917,373
AK60,2014-08-06,168,251,2397,185,696,257
AK60,2014-09-07,124,210,1919,98,567,231
AK60,2014-09-15,186,267,1763,161,506,207
AK60,2014-11-03,199,146,1094,101,432,110
AK60,2014-11-11,153,190,1117,134,338,145
AK60,2014-12-20,1470,1355,1366,1256,75,86
AK60,2015-01-13,1041,951,1495,783,135,97
AK60,2015-01-21,568,628,1147,643,7,52
AK60,2015-02-22,531,617,1716,639,135,175
AK60,2015-05-06,227,359,2089,261,829,384
AK60,2015-05-21,164,273,1933,213,722,328
AK60,2015-05-22,212,383,2454,261,968,451
AK60,2015-05-29,162,333,2082,231,820,388
AK60,2015-06-06,136,304,2197,193,798,368
AK60,2015-06-07,517,690,2672,549,1098,625
AK60,2015-06-22,159,97,724,48,148,34
AK60,2015-07-08,252,387,2601,238,775,292
AK60,2015-07-16,210,361,2403,225,814,352
AK60,2015-08-17,185,309,2101,187,691,276
AK60,2015-08-18,778,778,3112,542,1e3,369
AK60,2015-09-02,221,326,2106,186,639,236
AK60,2015-09-11,172,290,2055,182,695,290
AK60,2015-09-27,126,223,1726,140,555,232
AK60,2015-10-05,182,215,1649,142,550,243
AK60,2015-10-12,107,214,1319,154,427,192
AK60,2015-10-20,259,343,1522,294,772,449
AK60,2015-11-05,96,156,1128,95,344,131
AK60,2015-12-07,98,110,890,53,220,94
AK60,2016-01-24,591,670,1840,679,326,280
AK60,2016-02-02,4,43,1476,-7,362,192
AK60,2016-02-18,1044,1013,1866,963,204,213
AK60,2016-03-12,50,141,1418,103,428,184
AK60,2016-03-13,604,621,2130,548,903,553
AK60,2016-03-21,394,448,1815,398,603,366
AK60,2016-04-05,1039,997,2195,992,378,267
AK60,2016-04-13,171,283,1715,224,563,270
AK60,2016-04-14,198,341,1863,222,668,332
AK60,2016-04-21,290,344,1766,321,792,421
AK60,2016-04-29,94,225,1755,157,646,295
AK60,2016-05-23,426,506,2167,391,958,372
AK60,2016-05-31,129,308,2120,203,815,366
AK60,2016-06-17,170,364,2649,199,967,434
AK60,2016-06-24,237,408,2691,205,864,326
AK60,2016-07-03,345,527,3183,422,1218,599
AK60,2016-07-11,544,675,2781,540,1017,573
AK60,2016-07-27,152,304,2664,156,844,339
AK60,2016-08-03,184,309,2343,184,733,298
AK60,2016-08-11,222,290,2161,152,616,213
AK60,2016-08-19,122,244,2068,140,645,257
AK60,2016-08-20,204,279,2327,192,749,293
AK60,2016-08-27,132,254,2087,158,644,248
AK60,2016-08-28,183,290,2412,162,762,292
AK60,2016-09-04,181,280,1957,178,591,227
AK60,2016-09-12,126,241,1862,142,555,182
AK60,2016-09-13,159,247,1940,144,603,239
AK60,2016-09-20,116,219,1693,133,503,195
AK60,2016-10-06,63,175,1467,127,442,174
AK60,2016-10-07,171,239,1595,162,497,243
AK60,2016-10-15,430,549,1831,524,830,538
AK60,2016-10-23,945,931,1851,897,194,170
AK60,2016-11-07,44,110,1052,71,310,119
AK60,2016-11-23,497,644,1409,681,-16,72
AK60,2016-12-10,1746,1586,1653,1354,181,45
