sites,latitude,longitude,depth_top_cm,depth_bottom_cm,texture_code,texture_description,horizon_name
BI10_site_1-25735,43.6511,-89.7871,0,23,SIL,Silt loam,Ap
BI10_site_1-25735,43.6511,-89.7871,23,71,L,Loam,"Bt1, Bt2"
BI10_site_1-25735,43.6511,-89.7871,71,81,L,Loam,2Bt3
BI10_site_1-25735,43.6511,-89.7871,81,99,CN-S,Channery sand,3C
BI10_site_1-25735,43.6511,-89.7871,99,152,WB,Weathered bedrock,3Cr
GR08_site_1-25681,39.695,-78.4661,0,15,CN-SIL,Channery silt loam,A
GR08_site_1-25681,39.695,-78.4661,15,30,CNV-SIL,Very channery silt loam,Bw
GR08_site_1-25681,39.695,-78.4661,30,38,CNX-SIL,Extremely channery silt loam,C
GR08_site_1-25681,39.695,-78.4661,38,63,BR,Bedrock,R
IDS05_site_1-25682,39.6533,-78.4968,0,3,SPM,Slightly decomposed plant material,Oi
IDS05_site_1-25682,39.6533,-78.4968,3,13,CN-SIL,Channery silt loam,A
IDS05_site_1-25682,39.6533,-78.4968,13,25,CNV-SIL,Very channery silt loam,Bw
IDS05_site_1-25682,39.6533,-78.4968,25,33,CNX-SIL,Extremely channery silt loam,C
IDS05_site_1-25682,39.6533,-78.4968,33,58,BR,Bedrock,R
IDS10_site_1-25683,39.6731,-78.423,0,15,GR-SL,Gravelly sandy loam,A
IDS10_site_1-25683,39.6731,-78.423,15,38,CNV-SL,Very channery sandy loam,Bw
IDS10_site_1-25683,39.6731,-78.423,38,61,FLX-SL,Extremely flaggy sandy loam,C
IDS10_site_1-25683,39.6731,-78.423,61,86,BR,Bedrock,R
IDS34_site_1-25684,39.6651,-78.9711,0,15,STX-L,Extremely stony loam,H1
IDS35_site_1-25685,39.6117,-79.0838,0,13,STX-L,Extremely stony loam,H1
IDS36_site_1-25686,39.6119,-79.0854,0,20,CN-L,Channery loam,H1
IDS40_site_1-25687,39.5572,-79.2098,0,20,STV-SL,Very stony sandy loam,H1
NC07_site_1-25693,45.9758,-90.2195,0,8,SL,Sandy loam,A
NC07_site_1-25693,45.9758,-90.2195,8,20,SL,Sandy loam,E
NC07_site_1-25693,45.9758,-90.2195,20,38,GR-SL,Gravelly sandy loam,Bs
NC07_site_1-25693,45.9758,-90.2195,38,53,GR-COS,Gravelly coarse sand,2BC
NC07_site_1-25693,45.9758,-90.2195,53,152,SR- S GRV-COS,Stratified sand to very gravelly coarse sand,2C
NC09_site_1-25695,45.9714,-90.284,0,165,MUCK,Muck,Oa
NC10_site_1-25696,45.9583,-90.2257,0,165,MUCK,Muck,Oa
NC12_site_1-25698,45.9518,-90.2509,0,8,SL,Sandy loam,A
NC12_site_1-25698,45.9518,-90.2509,8,20,SL,Sandy loam,E
NC12_site_1-25698,45.9518,-90.2509,20,38,GR-SL,Gravelly sandy loam,Bs
NC12_site_1-25698,45.9518,-90.2509,38,53,GR-COS,Gravelly coarse sand,2BC
NC12_site_1-25698,45.9518,-90.2509,53,152,SR- S GRV-COS,Stratified sand to very gravelly coarse sand,2C
NC16_site_1-25700,45.9586,-90.244,0,5,LS,Loamy sand,A
NC16_site_1-25700,45.9586,-90.244,5,10,LS,Loamy sand,E
NC16_site_1-25700,45.9586,-90.244,10,18,LS,Loamy sand,Bs1
NC16_site_1-25700,45.9586,-90.244,18,36,S,Sand,Bs2
NC16_site_1-25700,45.9586,-90.244,36,56,GR-S,Gravelly sand,BC
NC16_site_1-25700,45.9586,-90.244,56,152,SR- S GRV-COS,Stratified sand to very gravelly coarse sand,C
NC17_site_1-25701,45.9448,-90.2591,0,10,FSL,Fine sandy loam,A
NC17_site_1-25701,45.9448,-90.2591,10,23,FSL,Fine sandy loam,Bhs
NC17_site_1-25701,45.9448,-90.2591,23,36,FSL,Fine sandy loam,Bs
NC17_site_1-25701,45.9448,-90.2591,36,64,FSL,Fine sandy loam,B/E
NC17_site_1-25701,45.9448,-90.2591,64,84,SL,Sandy loam,2Bt
NC17_site_1-25701,45.9448,-90.2591,84,147,GR-LS,Gravelly loamy sand,3BCd
NC17_site_1-25701,45.9448,-90.2591,147,203,GR-LS,Gravelly loamy sand,3Cd
NC18_site_1-25702,45.9593,-90.2645,0,3,MPM,Moderately decomposed plant material,Oe
NC18_site_1-25702,45.9593,-90.2645,3,5,LS,Loamy sand,A
NC18_site_1-25702,45.9593,-90.2645,5,13,LS,Loamy sand,E
NC18_site_1-25702,45.9593,-90.2645,13,56,LS,Loamy sand,Bs1
